11:18:04.198925,(-69,-54,-82),(-62,-53,-72),(-72,-64,-81),(-78,-67,-83),(-72,-58,-80),(-59,-44,-72)
11:18:06.505952,(-72,-51,-84),(-66,-52,-75),(-70,-65,-77),(-87,-83,-88),(-74,-56,-85),(-62,-45,-82)
11:18:08.810322,(-68,-56,-78),(-63,-54,-71),(-66,-48,-72),(-80,-73,-85),(-72,-62,-86),(-64,-49,-76)
11:18:11.117988,(-74,-57,-91),(-66,-50,-81),(-64,-45,-74),(-81,-74,-85),(-72,-62,-78),(-66,-47,-83)
11:18:13.423575,(-69,-55,-79),(-63,-50,-75),(-68,-53,-75),(-80,-70,-88),(-70,-57,-82),(-67,-54,-83)
11:18:15.729630,(-65,-56,-74),(-65,-50,-82),(-70,-49,-82),(-91,-83,-95),(-75,-57,-86),(-63,-50,-70)
11:18:18.094649,(-70,-51,-91),(-67,-47,-82),(-67,-54,-77),(-87,-75,-95),(-69,-58,-82),(-61,-44,-71)
11:18:20.430915,(-75,-70,-81),(-67,-60,-77),(-67,-57,-73),(-80,-71,-86),(-79,-67,-89),(-68,-49,-83)
11:18:22.725824,(-69,-59,-76),(-64,-48,-79),(-68,-51,-72),(-76,-72,-82),(-76,-62,-85),(-72,-55,-88)
11:18:25.030271,(-69,-55,-80),(-57,-43,-72),(-70,-62,-83),(-84,-77,-87),(-78,-65,-92),(-64,-48,-82)
11:18:27.345299,(-69,-53,-85),(-68,-58,-78),(-72,-65,-79),(-90,-79,-93),(-72,-62,-79),(-62,-48,-77)
11:18:29.662691,(-72,-57,-85),(-59,-46,-67),(-69,-54,-102),(-82,-72,-96),(-71,-61,-79),(-69,-60,-75)
11:18:31.988399,(-73,-62,-78),(-62,-47,-73),(-71,-49,-86),(-83,-73,-98),(-73,-62,-79),(-66,-53,-72)
11:18:34.312951,(-78,-69,-91),(-63,-59,-68),(-70,-53,-78),(-85,-77,-94),(-75,-62,-80),(-67,-55,-77)
11:18:36.667257,(-76,-69,-86),(-60,-46,-72),(-67,-52,-83),(-84,-76,-95),(-79,-71,-85),(-64,-44,-82)
11:18:38.999807,(-70,-55,-80),(-66,-51,-86),(-69,-55,-80),(-85,-76,-92),(-72,-60,-77),(-67,-48,-80)
11:18:41.336609,(-68,-58,-79),(-59,-47,-64),(-69,-52,-78),(-82,-72,-91),(-75,-58,-81),(-63,-52,-78)
11:18:43.644616,(-76,-59,-86),(-67,-55,-78),(-69,-52,-77),(-84,-72,-93),(-76,-70,-83),(-67,-55,-76)
11:18:45.968065,(-66,-54,-77),(-62,-51,-71),(-66,-49,-74),(-81,-70,-90),(-81,-76,-88),(-67,-55,-77)
11:18:48.265828,(-73,-62,-87),(-66,-50,-82),(-63,-50,-69),(-90,-82,-95),(-74,-62,-82),(-65,-52,-72)
11:18:50.603294,(-74,-67,-79),(-56,-42,-66),(-73,-67,-77),(-87,-73,-100),(-74,-58,-80),(-68,-58,-80)
11:18:52.941098,(-75,-67,-89),(-61,-56,-66),(-70,-62,-78),(-88,-76,-101),(-75,-71,-83),(-59,-52,-67)
11:18:55.271532,(-72,-61,-80),(-60,-52,-71),(-69,-62,-75),(-83,-76,-89),(-69,-55,-74),(-72,-67,-80)
11:18:57.581101,(-75,-58,-88),(-67,-51,-79),(-70,-62,-82),(-83,-73,-89),(-73,-59,-85),(-71,-52,-79)
11:18:59.895312,(-75,-67,-85),(-65,-46,-76),(-71,-58,-83),(-79,-69,-83),(-78,-69,-95),(-70,-50,-82)
11:19:02.221169,(-75,-68,-81),(-63,-48,-74),(-62,-50,-77),(-82,-68,-87),(-77,-59,-89),(-62,-53,-72)
11:19:04.544092,(-71,-56,-79),(-62,-42,-70),(-64,-52,-70),(-84,-75,-89),(-74,-62,-88),(-60,-49,-70)
11:19:06.865985,(-77,-67,-91),(-64,-55,-78),(-61,-50,-77),(-82,-73,-92),(-71,-58,-79),(-69,-54,-81)
11:19:09.227536,(-71,-58,-86),(-64,-52,-73),(-68,-57,-83),(-80,-71,-88),(-78,-69,-88),(-67,-51,-78)
11:19:11.535529,(-73,-60,-87),(-65,-49,-72),(-73,-67,-87),(-81,-77,-83),(-72,-62,-87),(-54,-45,-63)
11:19:13.842499,(-71,-54,-84),(-64,-56,-71),(-68,-49,-78),(-81,-71,-86),(-75,-67,-82),(-57,-47,-69)
